Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-02,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-03,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-04,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-05,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-08,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-09,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-10,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-11,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-12,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-15,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-16,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-17,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-18,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-19,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-22,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-23,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-24,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-25,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-26,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-29,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-30,327.0,327.0,327.0,327.0,279.1061096191406,0
2001-01-31,325.5,325.5,325.5,325.5,277.8258056640625,8000
2001-02-01,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-02,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-05,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-06,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-07,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-08,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-09,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-12,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-13,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-14,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-15,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-16,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-19,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-20,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-21,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-22,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-23,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-26,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-27,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-02-28,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-01,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-02,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-05,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-06,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-07,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-08,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-09,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-12,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-13,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-14,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-15,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-03-16,325.5,325.5,325.5,325.5,277.8258056640625,0
2001-04-18,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-04-19,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-04-20,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-04-23,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-04-24,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-04-25,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-04-26,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-04-27,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-04-30,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-01,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-02,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-03,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-04,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-07,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-08,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-09,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-10,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-11,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-14,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-15,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-16,305.375,305.375,305.375,305.375,260.6484680175781,0
2001-05-17,305.375,305.375,305.375,305.375,260.6484680175781,0
